start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T04:59:00.000,56530.500000,56523.140000,56554.010000,56554.000000
2024-09-11T05:00:00.000,56520.540000,56512.500000,56539.990000,56530.510000
2024-09-11T05:01:00.000,56484.260000,56484.260000,56520.540000,56520.540000
2024-09-11T05:02:00.000,56504.460000,56466.010000,56507.690000,56484.270000
2024-09-11T05:03:00.000,56468.010000,56468.010000,56504.460000,56504.460000
2024-09-11T05:04:00.000,56496.000000,56466.000000,56496.000000,56468.010000
2024-09-11T05:05:00.000,56450.000000,56450.000000,56516.000000,56496.000000
2024-09-11T05:06:00.000,56399.310000,56389.770000,56450.010000,56450.010000
2024-09-11T05:07:00.000,56394.010000,56383.550000,56415.990000,56399.310000
2024-09-11T05:08:00.000,56412.010000,56394.000000,56426.830000,56394.000000
2024-09-11T05:09:00.000,56414.000000,56408.000000,56424.000000,56412.010000
2024-09-11T05:10:00.000,56424.000000,56414.000000,56440.000000,56414.000000
2024-09-11T05:11:00.000,56372.010000,56372.000000,56424.010000,56424.010000
2024-09-11T05:12:00.000,56321.090000,56308.000000,56378.000000,56372.010000
2024-09-11T05:13:00.000,56313.990000,56300.000000,56334.000000,56321.090000
2024-09-11T05:14:00.000,56294.350000,56258.000000,56316.000000,56313.980000
2024-09-11T05:15:00.000,56349.990000,56274.390000,56350.000000,56294.360000
2024-09-11T05:16:00.000,56332.000000,56326.080000,56363.990000,56349.990000
2024-09-11T05:17:00.000,56381.010000,56332.000000,56386.000000,56332.000000
2024-09-11T05:18:00.000,56321.100000,56321.100000,56400.000000,56381.010000
2024-09-11T05:19:00.000,56320.000000,56320.000000,56344.890000,56321.100000
2024-09-11T05:20:00.000,56334.000000,56320.010000,56346.000000,56320.010000
2024-09-11T05:21:00.000,56338.900000,56328.000000,56365.860000,56334.000000
2024-09-11T05:22:00.000,56315.990000,56312.000000,56365.860000,56338.900000
2024-09-11T05:23:00.000,56322.000000,56291.100000,56331.100000,56316.000000
2024-09-11T05:24:00.000,56292.010000,56292.000000,56322.010000,56322.000000
2024-09-11T05:25:00.000,56272.010000,56272.010000,56307.990000,56292.010000
2024-09-11T05:26:00.000,56263.150000,56254.270000,56291.100000,56272.010000
2024-09-11T05:27:00.000,56244.010000,56203.000000,56284.000000,56263.150000
2024-09-11T05:28:00.000,56163.720000,56111.000000,56247.000000,56244.010000
2024-09-11T05:29:00.000,56156.000000,56100.000000,56181.300000,56163.710000
2024-09-11T05:30:00.000,56162.000000,56100.070000,56176.340000,56156.000000
2024-09-11T05:31:00.000,56209.350000,56160.000000,56209.350000,56162.000000
2024-09-11T05:32:00.000,56222.000000,56192.000000,56231.100000,56209.350000
2024-09-11T05:33:00.000,56222.010000,56212.000000,56244.000000,56222.010000
2024-09-11T05:34:00.000,56242.400000,56194.000000,56242.400000,56222.010000
2024-09-11T05:35:00.000,56293.990000,56242.400000,56294.000000,56242.410000
2024-09-11T05:36:00.000,56198.000000,56198.000000,56294.000000,56294.000000
2024-09-11T05:37:00.000,56249.990000,56198.000000,56250.000000,56198.000000
2024-09-11T05:38:00.000,56251.500000,56248.010000,56278.000000,56250.000000
2024-09-11T05:39:00.000,56229.990000,56228.000000,56267.990000,56251.510000
2024-09-11T05:40:00.000,56293.990000,56208.330000,56293.990000,56230.000000
2024-09-11T05:41:00.000,56268.000000,56244.000000,56296.000000,56293.990000
2024-09-11T05:42:00.000,56296.050000,56264.000000,56296.060000,56268.000000
2024-09-11T05:43:00.000,56322.000000,56296.050000,56322.000000,56296.060000
2024-09-11T05:44:00.000,56300.010000,56300.000000,56322.000000,56322.000000
2024-09-11T05:45:00.000,56307.000000,56292.000000,56311.090000,56300.000000
2024-09-11T05:46:00.000,56282.010000,56282.000000,56310.000000,56307.010000
2024-09-11T05:47:00.000,56233.900000,56224.000000,56300.000000,56282.010000
2024-09-11T05:48:00.000,56246.000000,56233.890000,56288.000000,56233.900000
2024-09-11T05:49:00.000,56304.870000,56246.000000,56304.880000,56246.010000
2024-09-11T05:50:00.000,56314.000000,56304.870000,56320.000000,56304.870000
